deal_totalPrice,gross_area,address,house_age,deal_time,deal_unitPrice,floor_number,house_decoration,house_orientation,house_usage,household_style,is_two_five,longitude_latitude,region,with_elevator,xiaoqu,lon,lat
105,105.0,haifu,12,2018-05,10000,11,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.810227,39.029771",kaifaqudl,1,瑞仕尚城,121.810227,39.029771000000004
105,105.0,xiaopingdao,13,2016-08,9953,27,精装,南,普通住宅,2室2厅1厨1卫,0,"121.508757,38.8419",gaoxinyuanqu,1,小平岛亲海园,121.508757,38.8419
105,105.0,yangguangyuexiu,20,2015-07,10000,6,精装,南 北,普通住宅,2室2厅1厨1卫,5,"121.58,38.9313",shahekou,0,天河新苑,121.58,38.9313
105,105.0,lvbo,19,2016-12,10000,6,精装,南 西 北,普通住宅,3室2厅1厨1卫,0,"121.574442,38.937116",shahekou,0,绿波花园,121.57444199999999,38.937115999999996
105,105.0,quanshuilongpanjinquan,12,2017-10,10000,6,其他,南 北,普通住宅,3室1厅1厨1卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
105,105.0,quanshuimeiyushengjing,12,2018-03,10000,20,毛坯,南,普通住宅,2室2厅1厨1卫,0,"121.61031,39.006234",ganjingzi,1,美域盛景,121.61031000000001,39.006234
101,99.73,yangguangyuexiu,20,2017-03,10128,6,其他,南 北,普通住宅,3室2厅1厨1卫,0,"121.58,38.9313",shahekou,0,天河新苑,121.58,38.9313
101,99.73,quanshuilongpanjinquan,12,2017-10,10128,13,其他,南 北,普通住宅,2室2厅1厨1卫,2,"121.63185815162,39.015617795485",ganjingzi,1,龙畔金泉五期K4区,121.63185815162,39.015617795485
100,90.87,quanshuilongpanjinquan,8,2017-06,11004,5,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
135,132.96,quanshuilongpanjinquan,15,2017-06,10154,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
86,113.0,quanshuilongpanjinquan,16,2017-06,7611,6,其他,南 西 北,普通住宅,3室2厅1厨1卫,0,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
112,128.0,haifu,15,2017-09,8750,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.805127,39.03463",kaifaqudl,0,众益阳光海岸,121.805127,39.03463
112,128.0,quanshuilongpanjinquan,16,2017-07,8750,11,其他,南 北,普通住宅,3室2厅1厨2卫,5,"121.629132,39.002134",ganjingzi,1,龙畔金泉二期,121.62913200000001,39.002134000000005
95,105.2,quanshuilongpanjinquan,12,2017-07,9031,6,简装,南 北,普通住宅,3室1厅1厨1卫,5,"121.630655,39.014086",ganjingzi,0,龙畔金泉五期K3区,121.630655,39.014086
139,113.88,quanshuilongpanjinquan,5,2017-07,12206,5,其他,南 北,普通住宅,3室1厅1厨2卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
110,123.2,quanshuilongpanjinquan,15,2017-07,8929,6,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
93,92.0,quanshuilongpanjinquan,16,2017-07,10109,6,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
122,132.96,quanshuilongpanjinquan,15,2017-08,9176,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
99,97.98,erqi1,20,2018-01,10105,7,精装,西南,普通住宅,2室1厅1厨1卫,5,"121.671957,38.929513",zhongshan,0,民德街,121.671957,38.929513
99,97.98,quanshuilongpanjinquan,12,2017-08,10054,6,其他,南 北,普通住宅,3室2厅1厨1卫,0,"121.63185815162,39.015617795485",ganjingzi,0,龙畔金泉五期K4区,121.63185815162,39.015617795485
95,90.92,quanshuilongpanjinquan,6,2017-08,10449,33,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
90,143.93,quanshuilongpanjinquan,12,2017-04,6254,28,其他,南 北,普通住宅,3室2厅1厨1卫,0,"121.640577,39.02116",ganjingzi,0,泉水N1区,121.64057700000001,39.021159999999995
160,133.0,quanshuilongpanjinquan,5,2017-05,12031,7,其他,南 北,普通住宅,3室1厅1厨2卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
86,110.46,quanshuilongpanjinquan,15,2017-05,7786,6,精装,西南 北,普通住宅,3室2厅1厨1卫,0,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
93,108.4,quanshuilongpanjinquan,16,2017-05,8534,6,其他,西南 北,普通住宅,3室2厅1厨1卫,5,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
115,115.07,quanshuilongpanjinquan,5,2017-03,9994,18,其他,南 北,普通住宅,3室2厅1厨1卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
106,136.97,quanshuilongpanjinquan,16,2017-03,7703,6,精装,南 北,普通住宅,3室2厅1厨2卫,5,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
110,136.0,quanshuilongpanjinquan,12,2019-062017-03,8089,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.630655,39.014086",ganjingzi,0,龙畔金泉五期K3区,121.630655,39.014086
108,128.0,quanshuilongpanjinquan,12,2017-04,8438,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
91,112.0,quanshuilongpanjinquan,16,2017-02,8125,4,简装,南 北,普通住宅,3室2厅1厨1卫,0,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
83,117.73,quanshuilongpanjinquan,12,2018-122017-02,7051,19,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.630655,39.014086",ganjingzi,1,龙畔金泉五期K3区,121.630655,39.014086
83,117.73,quanshuilongpanjinquan,12,2016-03,7017,18,毛坯,南 北,普通住宅,2室2厅1厨1卫,0,"121.630061,39.011831",ganjingzi,1,龙畔金泉五期K2区,121.63006100000001,39.011831
105,136.97,quanshuilongpanjinquan,16,2017-02,7630,6,精装,南 北,普通住宅,3室2厅1厨2卫,5,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
119,138.89,quanshuilongpanjinquan,15,2017-03,8568,11,其他,南 北,普通住宅,3室2厅1厨2卫,2,"121.626882,39.005327",ganjingzi,1,龙畔金泉四期,121.62688200000001,39.005327
105,126.16,quanshuilongpanjinquan,12,2016-12,8284,6,精装,南 北,普通住宅,3室2厅1厨2卫,5,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
142,130.02,quanshuilongpanjinquan,5,2016-12,10922,7,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
88,102.57,quanshuilongpanjinquan,12,2016-12,8580,13,精装,南 北,普通住宅,2室2厅1厨1卫,2,"121.63185815162,39.015617795485",ganjingzi,1,龙畔金泉五期K4区,121.63185815162,39.015617795485
95,137.97,quanshuilongpanjinquan,16,2017-01,6857,4,简装,南 北,普通住宅,3室2厅1厨2卫,0,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
